class,grupo,n_taxa
Anthozoa,Coral blando,21
Florideophyceae,Alga erecta,8
Anthozoa,Coral duro,6
Demospongiae,Invertebrado erecto,6
Florideophyceae,Césped algal,6
Gastropoda,Invertebrado móvil,6
Echinoidea,Invertebrado móvil,4
Demospongiae,Invertebrado incrustante,3
Phaeophyceae,Césped algal,3
Polychaeta,Invertebrado erecto,3
Ascidiacea,Invertebrado erecto,2
Asteroidea,Invertebrado móvil,2
Bivalvia,Invertebrado erecto,2
Cephalopoda,Invertebrado móvil,2
Hydrozoa,Invertebrado erecto,2
Malacostraca,Invertebrado móvil,2
Ophiuroidea,Invertebrado móvil,2
Phaeophyceae,Alga erecta,2
NA,Invertebrado incrustante,2
Florideophyceae,Alga incrustante,1
Florideophyceae,CCA,1
Gastropoda,Invertebrado incrustante,1
Holothuroidea,Invertebrado móvil,1
Phaeophyceae,Alga incrustante,1
NA,Césped algal,1
